Lat,Lon,Name,Borough,Ride.Count
40.7361,-73.8149,QUEENS COLLEGE PUBLIC SAFETY,4.0,3036
40.7586,-73.9601,GARDEN HOUSE SCHOOL SUTTON PL,1.0,3036
40.7371,-73.9853,BROTHERHOOD SYNAGOGUE NURSERY SCHOOL,1.0,3035
40.7155,-74.0042,FBI,1.0,3031
40.739,-73.9869,CALVARY ST GEORGE EPISCOPAL CHURCH,1.0,3031
40.7514,-73.9906,MANHATTAN COMMUNITY BOARD 5,1.0,3023
40.7698,-73.9563,CATHEDRAL SCHOOL,1.0,3021
40.7178,-74.0092,WASHINGTON MARKET SCHOOL HUDSON ST,1.0,3014
40.8808,-73.907,AMBER CHARTER SCHOOL II KINGSBRIDGE,2.0,3012
40.7576,-73.9761,FRENCH TOURIST OFC,1.0,3010
40.7136,-74.0079,NEW AMSTERDAM LIBRARY,1.0,2999
40.7281,-73.9888,NEW YORK UNIVERSITY 7 ST RESIDENCE HALL,1.0,2976
40.7047,-74.0113,MILLENNIUM HIGH SCHOOL,1.0,2966
40.704,-73.9902,MAIN STREET PLAYGROUND,3.0,2965
40.756,-73.9786,JAPAN EXTERNAL TRADE ORGANIZATION,1.0,2960
40.7715,-73.9827,EMPIRE HOTEL,1.0,2959
40.7015,-73.9827,VINEGAR HILL COMMUNITY GARDEN,3.0,2953
40.75,-73.9909,HOTEL PENNSYLVANIA,1.0,2950
40.7546,-73.9632,RIVER HOUSE BUILDING,1.0,2944
40.707,-73.8984,BENNIGER PLAYGROUND,4.0,2936
40.7585,-73.9722,SEAGRAM BUILDING,1.0,2935
40.7265,-73.9945,WOMENS SHELTER LAFAYETTE ST,1.0,2934
40.763,-73.9694,MANHATTAN COMMUNITY BOARD 8,1.0,2933
40.7697,-73.968,INDONESIA CONSULATE,1.0,2899
40.7552,-73.9742,CHASE BANK PARK AV,1.0,2895
40.7831,-73.9737,EXCELSIOR HOTEL,1.0,2891
40.7712,-73.9655,ST JAMES CHURCH,1.0,2884
40.7276,-73.9858,80 ST MARKS THEATRE,1.0,2884
